SkiaApiToken,Occurrences,SampleLocation
SKAlphaType,11,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SkiaSharpExtensions.cs
SKBitmap,17,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/DrawingContextImpl.cs
SKBitmapReleaseDelegate,1,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/WriteableBitmapImpl.cs
SKBlendMode,32,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/DrawingContextImpl.cs
SKCacheBase,5,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SKRoundRectCache.cs
SKCanvas,17,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Helpers/DrawingContextHelper.cs
SKClipOperation,4,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/DrawingContextImpl.cs
SKCodec,2,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/WriteableBitmapImpl.cs
SKColor,53,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/FramebufferRenderTarget.cs
SKColorF,4,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/DrawingContextImpl.cs
SKColorFilter,2,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/DrawingContextImpl.cs
SKColorSpace,2,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Gpu/Vulkan/VulkanSkiaRenderTarget.cs
SKColorType,32,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/FramebufferRenderTarget.cs
SKCubicResampler,1,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SkiaSharpExtensions.cs
SKData,4,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/WriteableBitmapImpl.cs
SKDocument,2,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Helpers/DrawingContextHelper.cs
SKEncodedImageFormat,1,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Helpers/ImageSavingHelper.cs
SKFilterMode,4,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SkiaSharpExtensions.cs
